section,strategy,from_state,to_state,value,unit,provenance
transition,comparator,stable,stable,0.70,probability_per_cycle,synthetic_teaching_assumption
transition,comparator,stable,progressed,0.20,probability_per_cycle,synthetic_teaching_assumption
transition,comparator,stable,dead,0.10,probability_per_cycle,synthetic_teaching_assumption
transition,comparator,progressed,stable,0.00,probability_per_cycle,structural_zero
transition,comparator,progressed,progressed,0.75,probability_per_cycle,synthetic_teaching_assumption
transition,comparator,progressed,dead,0.25,probability_per_cycle,synthetic_teaching_assumption
transition,comparator,dead,stable,0.00,probability_per_cycle,absorbing_state
transition,comparator,dead,progressed,0.00,probability_per_cycle,absorbing_state
transition,comparator,dead,dead,1.00,probability_per_cycle,absorbing_state
transition,intervention,stable,stable,0.76,probability_per_cycle,synthetic_teaching_assumption
transition,intervention,stable,progressed,0.16,probability_per_cycle,synthetic_teaching_assumption
transition,intervention,stable,dead,0.08,probability_per_cycle,synthetic_teaching_assumption
transition,intervention,progressed,stable,0.00,probability_per_cycle,structural_zero
transition,intervention,progressed,progressed,0.78,probability_per_cycle,synthetic_teaching_assumption
transition,intervention,progressed,dead,0.22,probability_per_cycle,synthetic_teaching_assumption
transition,intervention,dead,stable,0.00,probability_per_cycle,absorbing_state
transition,intervention,dead,progressed,0.00,probability_per_cycle,absorbing_state
transition,intervention,dead,dead,1.00,probability_per_cycle,absorbing_state
state_cost,comparator,stable,,10000,CNY_2026_per_year,synthetic_teaching_assumption
state_cost,comparator,progressed,,25000,CNY_2026_per_year,synthetic_teaching_assumption
state_cost,comparator,dead,,0,CNY_2026_per_year,structural_zero
state_cost,intervention,stable,,18000,CNY_2026_per_year,synthetic_teaching_assumption
state_cost,intervention,progressed,,25000,CNY_2026_per_year,synthetic_teaching_assumption
state_cost,intervention,dead,,0,CNY_2026_per_year,structural_zero
state_utility,all,stable,,0.78,QALY_weight,synthetic_teaching_assumption
state_utility,all,progressed,,0.58,QALY_weight,synthetic_teaching_assumption
state_utility,all,dead,,0.00,QALY_weight,dead_anchor
